time,p1,p2,p3
2024-07-19 00:00:11.169813+00,57.837605,60.481186,37.017693
2024-07-19 00:00:26.062577+00,78.648788,54.426815,20.315615
2024-07-19 00:00:43.99627+00,52.710114,78.034096,50.660248
2024-07-19 00:00:58.952294+00,70.230843,61.019627,29.329353
2024-07-19 00:01:13.804854+00,81.624535,82.529312,13.321412
2024-07-19 00:01:31.911546+00,67.924637,89.189102,30.953892
2024-07-19 00:01:46.799957+00,70.534286,87.230804,23.004410
2024-07-19 00:02:01.66436+00,78.554817,75.581322,14.452395
2024-07-19 00:02:19.808854+00,79.010704,75.274033,12.844355
2024-07-19 00:02:34.676627+00,81.265038,66.658890,14.187916
2024-07-19 00:02:49.546634+00,80.768639,77.521263,13.482472
2024-07-19 00:03:07.577818+00,50.579117,77.191536,43.853966
2024-07-19 00:03:22.452899+00,56.765244,57.082027,37.881649
2024-07-19 00:03:37.304854+00,76.097183,60.247795,17.853739
2024-07-19 00:03:52.240276+00,62.228428,84.069962,21.950850
2024-07-19 00:04:10.424148+00,82.232719,75.367416,14.182796
2024-07-19 00:04:25.308254+00,58.185883,57.963665,32.914539
2024-07-19 00:04:40.175036+00,56.323944,61.156891,39.924423
2024-07-19 00:04:58.22619+00,82.013397,72.525574,9.137834
2024-07-19 00:05:13.070682+00,71.133347,61.669327,13.654841
2024-07-19 00:05:27.953523+00,50.144714,66.936424,43.065163
2024-07-19 00:05:45.960479+00,68.906425,55.671192,16.381607
2024-07-19 00:06:00.906192+00,43.189602,67.845551,43.258495
2024-07-19 00:06:15.752398+00,50.950691,78.340714,45.823769
2024-07-19 00:06:33.820943+00,64.495209,58.636936,28.631842
2024-07-19 00:06:48.785388+00,51.764130,73.701508,44.475796
2024-07-19 00:07:03.670078+00,70.215233,87.851402,29.483223
2024-07-19 00:07:21.672718+00,81.720924,73.493347,12.502060
2024-07-19 00:07:36.500179+00,63.613678,88.616982,28.582453
2024-07-19 00:07:51.300403+00,72.957733,65.290764,10.824374
2024-07-19 00:08:06.118333+00,53.209061,85.560196,43.188633
2024-07-19 00:08:23.932213+00,71.541946,90.719299,32.127895
2024-07-19 00:08:38.731622+00,76.200424,60.223511,22.616442
2024-07-19 00:08:53.574487+00,52.820045,65.685516,46.373604
2024-07-19 00:09:11.779106+00,51.818146,75.967575,49.201130
2024-07-19 00:09:26.625609+00,59.035202,85.292419,43.673988
2024-07-19 00:09:41.514424+00,57.722401,87.699234,43.115334
2024-07-19 00:09:59.544908+00,64.328285,58.359646,32.420685
2024-07-19 00:10:14.511206+00,49.153271,65.885201,47.277176
2024-07-19 00:10:29.415242+00,55.756287,86.759956,45.014530
2024-07-19 00:10:47.404816+00,62.414398,90.913460,33.909897
2024-07-19 00:11:02.367148+00,77.042747,85.358330,28.333319
2024-07-19 00:11:17.294138+00,86.108994,71.272728,15.494339
2024-07-19 00:11:32.224731+00,84.000732,85.909531,15.625028
2024-07-19 00:11:50.158185+00,68.337372,56.784035,20.922556
2024-07-19 00:12:05.025325+00,62.201477,59.839405,23.964598
2024-07-19 00:12:20.031302+00,57.565239,84.855530,36.251762
2024-07-19 00:12:38.022394+00,68.388107,57.997574,21.448406
2024-07-19 00:12:52.915032+00,80.124565,78.771538,14.994181
2024-07-19 00:13:07.851068+00,65.419807,88.558327,37.314743
2024-07-19 00:13:25.808483+00,83.473434,84.673012,24.865007
2024-07-19 00:13:40.740981+00,72.526436,86.575844,32.316753
2024-07-19 00:13:55.65027+00,59.300198,86.522980,43.291374
2024-07-19 00:14:13.657832+00,55.320759,64.886169,40.542015
2024-07-19 00:14:28.582358+00,71.982567,92.246117,37.546597
2024-07-19 00:14:43.38302+00,76.550072,68.383102,15.937999
2024-07-19 00:14:58.20483+00,67.389175,57.976578,27.930513
2024-07-19 00:15:16.372654+00,77.306458,63.849922,18.157160
2024-07-19 00:15:31.322129+00,58.395401,59.797165,33.834839
2024-07-19 00:15:46.210221+00,54.458492,58.913769,33.399170
2024-07-19 00:16:04.198709+00,82.934738,71.676239,13.136790
2024-07-19 00:16:19.200525+00,53.610233,75.359482,43.882942
2024-07-19 00:16:34.198981+00,73.044769,64.954216,21.066149
2024-07-19 00:16:52.012809+00,62.969234,58.283672,37.210449
2024-07-19 00:17:06.966465+00,73.331795,64.403885,21.207472
2024-07-19 00:17:21.801582+00,70.076363,88.836182,20.111790
2024-07-19 00:17:39.884751+00,82.814774,88.454132,21.344828
2024-07-19 00:17:54.791198+00,83.205391,73.575562,15.034862
